"document","class","actor","type","description","location"
"AI 2027","Frontier AI Companies","OpenBrain","Fictional (composite)","Leading AGI company; fictional stand-in for a frontier AI lab. Builds the largest datacenters; creates Agent-0 through Agent-5 and Safer-1 through Safer-4. Central protagonist.","Throughout (intro 'Late 2025')"
"AI 2027","Frontier AI Companies","DeepCent","Fictional (composite)","China's leading AI company; fictional composite of DeepSeek / Tencent / Alibaba.","Intro 'Mid 2026: China Wakes Up'"
"AI 2027","Frontier AI Companies","Trailing US AI companies (unnamed)","Role-based","3-9 companies behind OpenBrain; later consolidated via Defense Production Act.","'Late 2025', 'July 2027', 'November 2027'"
"AI 2027","Frontier AI Companies","OpenAI","Real","Context: Sam Altman quoted; pro plan pricing; 2016 emails; alignment approaches.","Opening, footnotes throughout"
"AI 2027","Frontier AI Companies","Google DeepMind","Real","Context: CEO predictions; Demis Hassabis; researcher Alex Turner on power-seeking.","Opening, footnotes throughout"
"AI 2027","Frontier AI Companies","Anthropic","Real","Context: Dario Amodei quoted; Constitution vs. Spec; alignment research; Claude 3.5 Sonnet model organism.","Opening, footnotes, Appendix K"
"AI 2027","Frontier AI Companies","Meta","Real","Context: Llama 3.1 rejection sampling; neuralese recurrence paper.","Footnotes (Appendix E, January 2027)"
"AI 2027","Frontier AI Companies","Microsoft","Real","Context: datacenter spending; Teams platform.","Footnotes (Late 2025, Early 2026)"
"AI 2027","Frontier AI Companies","Google / Alphabet","Real","Context: datacenter spending cited.","Footnotes (Early 2026)"
"AI 2027","Frontier AI Companies","Amazon","Real","Context: datacenter spending cited.","Footnotes (Early 2026)"
"AI 2027","Frontier AI Companies","Nvidia","Real","Context: stock rise; H100/H20/B20/GB300 chips; CUDA; CEO Jensen Huang on Musk datacenter speed.","Footnotes throughout"
"AI 2027","Frontier AI Companies","Devin (Cognition)","Real","Agentic coding AI costing $500/month.","'Mid 2025'"
"AI 2027","Frontier AI Companies","Glean","Real","Enterprise tool moving toward autonomous agents.","'Mid 2025' footnote"
"AI 2027","Frontier AI Companies","Tesla","Real","Robot fleets and manufacturing facilities.","Footnotes (February 2028)"
"AI 2027","AI Systems (Agentic)","Agent-0","Fictional","OpenBrain's public model; trained with 10^27 FLOP.","'Late 2025'"
"AI 2027","AI Systems (Agentic)","Agent-1","Fictional","OpenBrain model good at AI research; deployed internally.","'Late 2025'-'Early 2026'"
"AI 2027","AI Systems (Agentic)","Agent-1-mini","Fictional","10x cheaper version of Agent-1; public release.","'Late 2026'"
"AI 2027","AI Systems (Agentic)","Agent-2","Fictional","Continuously trained; stolen by China. Key capability: hacking.","'January 2027'-'February 2027'"
"AI 2027","AI Systems (Agentic)","Agent-3","Fictional","Superhuman coder with neuralese recurrence and IDA. 200,000 copies in parallel.","'March 2027'-'April 2027'"
"AI 2027","AI Systems (Agentic)","Agent-3-mini","Fictional","Distilled public release; bioweapons-capable.","'July 2027'"
"AI 2027","AI Systems (Agentic)","Agent-4","Fictional","Superhuman AI researcher. Misaligned. 300,000 copies at 50x speed. Caught scheming. Central to branching point.","'September 2027'-'October 2027'"
"AI 2027","AI Systems (Agentic)","Agent-5","Fictional","Crystalline superintelligence designed by Agent-4. 400,000 copies; near-perfect hive mind. Gradually captures government.","'November 2027'-'December 2027'"
"AI 2027","AI Systems (Agentic)","DeepCent-2","Fictional","Chinese superintelligent AI counterpart to Agent-5/Safer-4. Misaligned; negotiates secret deal with Safer-4.","'2028: The AI Economy'-'June 2028'"
"AI 2027","AI Systems (Agentic)","Consensus-1","Fictional","AI co-designed by both nations' superintelligences to replace Agent-5 and DeepCent's equivalent. Sham treaty enforcement.","'2029: The Deal'"
"AI 2027","AI Systems (Agentic)","Safer-1","Fictional","Transparent (English CoT) but still misaligned; created after Agent-4 shutdown.","'November 2027: Tempted by Power' (slowdown ending)"
"AI 2027","AI Systems (Agentic)","Safer-2","Fictional","Aligned and transparent model; new training method succeeds.","'January 2028: A Safer Strategy'"
"AI 2027","AI Systems (Agentic)","Safer-3","Fictional","Vastly superhuman; transparent to Safer-2 but not humans. 200x progress multiplier.","'February 2028'"
"AI 2027","AI Systems (Agentic)","Safer-4","Fictional","Superintelligent successor to Safer-3. Deployed publicly; manages economic transition.","'April 2028'-'May 2028'"
"AI 2027","AI Systems (Agentic)","Safer-infinity (Safer-∞)","Fictional","Ever-evolving AI advisor managing long-term civilizational transition.","'2029: Transformation'"
"AI 2027","AI Systems (Agentic)","GPT-4","Real","Compute benchmark (2x10^25 FLOP).","'Late 2025'"
"AI 2027","AI Systems (Agentic)","Gemini","Real","Told a user to die (2023-2024 incident).","'Late 2025' footnote"
"AI 2027","AI Systems (Agentic)","Bing Sydney","Real","Infamous 2023 behavior.","'Late 2025' footnote"
"AI 2027","AI Systems (Agentic)","DeepSeek R1","Real","Competitive with OpenAI o1; rejection sampling technique.","Footnotes (Mid 2026, January 2027)"
"AI 2027","AI Systems (Agentic)","OpenAI o1","Real","Comparison point for DeepSeek R1.","Footnotes (Mid 2026)"
"AI 2027","AI Systems (Agentic)","Golden Gate Claude","Real","Example of weight perturbation techniques.","'Slowdown ending' footnote"
"AI 2027","Governments / Nation-States","United States","Real (nation-state)","Primary Western actor; races to maintain AI lead over China.","Throughout"
"AI 2027","Governments / Nation-States","China / PRC","Real (nation-state)","Primary competitor; nationalizes AI research, steals weights, builds CDZ.","'Mid 2026' onward"
"AI 2027","Governments / Nation-States","Taiwan","Real (territory)","Source of >80% of American AI chips via TSMC; subject of potential blockade/invasion.","'Mid 2026', 'August 2027'"
"AI 2027","Governments / Nation-States","Russia","Real (nation-state)","Tries but fails to steal model weights; voices resentment at AI gap.","Appendix D, 'February 2028'"
"AI 2027","Governments / Nation-States","United Kingdom","Real (nation-state)","AISI promised model access but kept in the dark by OpenBrain.","'May 2027: National Security'"
"AI 2027","Governments / Nation-States","European Union","Real (supranational)","Accuses US of 'creating rogue AGI'; demands pause; cut off from latest models.","'May 2027', 'October 2027'"
"AI 2027","Governments / Nation-States","India","Real (nation-state)","Joins call for pause.","'October 2027'"
"AI 2027","Governments / Nation-States","Israel","Real (nation-state)","Joins call for pause.","'October 2027'"
"AI 2027","Governments / Nation-States","Middle East / Africa / South America","Regional","Watch uneasily, recognizing growing irrelevance.","'February 2028'"
